Time,X,Y,Z
11484,0.087891,1,0.08252
11760,0.087891,1,0.08252
11853,0.087891,1,0.08252
11946,0.087891,1,0.08252
12039,0.087891,1,0.08252
12129,0.087891,1,0.08252
12313,0.087891,1,0.08252
12400,0.087891,1,0.08252
12491,0.087891,1,0.08252
12581,0.087891,1,0.08252
13239,0.087891,1,0.08252
13538,0.087891,1,0.08252
13633,0.087891,1,0.08252
13725,0.087891,1,0.08252
13881,0.087891,1,0.08252
13911,0.087891,1,0.08252
14057,0.087891,1,0.08252
14455,0.087891,1,0.08252
14544,0.087891,1,0.08252
14691,0.087891,1,0.08252
14782,0.087891,1,0.08252
15027,0.087891,1,0.08252
15545,0.087891,1,0.08252
15793,0.087891,1,0.08252
15939,0.087891,1,0.08252
16262,0.087891,1,0.08252
16353,0.087891,1,0.08252
16502,0.087891,1,0.08252
16821,0.087891,1,0.08252
17081,0.087891,1,0.08252
17541,0.087891,1,0.08252
17837,0.087891,1,0.08252
18052,0.087891,1,0.08252
18145,0.087891,1,0.08252
18239,0.087891,1,0.08252
18665,0.087891,1,0.08252
18756,0.087891,1,0.08252
18842,0.087891,1,0.08252
19747,0.087891,1,0.08252
19780,0.087891,1,0.08252
19998,0.087891,1,0.08252
20089,0.087891,1,0.08252
20122,0.087891,1,0.08252
20220,0.087891,1,0.08252
20766,0.087891,1,0.08252
20853,0.087891,1,0.08252
21271,0.087891,1,0.08252
21631,0.087891,1,0.08252
21719,0.087891,1,0.08252
22250,0.087891,1,0.08252
22345,0.087891,1,0.08252
22378,0.087891,1,0.08252
22531,0.087891,1,0.08252
22913,0.087891,1,0.08252
23221,0.087891,1,0.08252
23527,0.087891,1,0.08252
24143,0.087891,1,0.08252
24229,0.087891,1,0.08252
24497,0.087891,1,0.08252
24588,0.087891,1,0.08252
24680,0.087891,1,0.08252
25471,0.087891,1,0.08252
25741,0.087891,1,0.08252
25830,0.087891,1,0.08252
26598,0.087891,1,0.08252
28641,0.087891,1,0.08252
28735,0.087891,1,0.08252
28832,0.087891,1,0.08252
29216,0.087891,1,0.08252
29309,0.087891,1,0.08252
29403,0.087891,1,0.08252
29491,0.087891,1,0.08252
29585,0.087891,1,0.08252
29676,0.087891,1,0.08252
29772,0.087891,1,0.08252
30490,0.087891,1,0.08252
30996,0.087891,1,0.08252
31090,0.087891,1,0.08252
31178,0.087891,1,0.08252
31556,0.087891,1,0.08252
32429,0.087891,1,0.08252
32943,0.087891,1,0.08252
33466,0.087891,1,0.08252
33971,0.087891,1,0.08252
34003,0.087891,1,0.08252
34278,0.087891,1,0.08252
34889,0.087891,1,0.08252
35098,0.087891,1,0.08252
35306,0.087891,1,0.08252
35394,0.087891,1,0.08252
35542,0.087891,1,0.08252
35810,0.087891,1,0.08252
36020,0.087891,1,0.08252
36170,0.087891,1,0.08252
36204,0.087891,1,0.08252
36349,0.087891,1,0.08252
36433,0.087891,1,0.08252
36880,0.087891,1,0.08252
37023,0.087891,1,0.08252
37507,0.087891,1,0.08252
37596,0.087891,1,0.08252
37808,0.087891,1,0.08252
37896,0.087891,1,0.08252
37991,0.087891,1,0.08252
38139,0.087891,1,0.08252
38232,0.087891,1,0.08252
38531,0.087891,1,0.08252
38832,0.087891,1,0.08252
39248,0.087891,1,0.08252
39338,0.087891,1,0.08252
39659,0.087891,1,0.08252
40020,0.087891,1,0.08252
40321,0.087891,1,0.08252
40529,0.087891,1,0.08252
40873,0.087891,1,0.08252
41797,0.087891,1,0.08252
41889,0.087891,1,0.08252
41985,0.087891,1,0.08252
42309,0.087891,1,0.08252
42401,0.087891,1,0.08252
42493,0.087891,1,0.08252
44213,0.087891,1,0.08252
44303,0.087891,1,0.08252
44391,0.087891,1,0.08252
44486,0.087891,1,0.08252
44727,0.087891,1,0.08252
44821,0.087891,1,0.08252
45029,0.087891,1,0.08252
45239,0.087891,1,0.08252
45270,0.087891,1,0.08252
45541,0.087891,1,0.08252
46403,0.087891,1,0.08252
48305,0.087891,1,0.08252
48401,0.087891,1,0.08252
48491,0.087891,1,0.08252
49643,0.087891,1,0.08252
49837,0.087891,1,0.08252
50399,0.087891,1,0.08252
50758,0.087891,1,0.08252
50852,0.087891,1,0.08252
50939,0.087891,1,0.08252
51033,0.087891,1,0.08252
52297,0.087891,1,0.08252
52388,0.087891,1,0.08252
52868,0.087891,1,0.08252
53123,0.087891,1,0.08252
53214,0.087891,1,0.08252
53685,0.087891,1,0.08252
53774,0.087891,1,0.08252
54142,0.087891,1,0.08252
54698,0.087891,1,0.08252
55681,0.087891,1,0.08252
56706,0.087891,1,0.08252
56797,0.087891,1,0.08252
56883,0.087891,1,0.08252
56976,0.087891,1,0.08252
57072,0.087891,1,0.08252
57728,0.087891,1,0.08252
58851,0.087891,1,0.08252
59771,0.087891,1,0.08252
60126,0.087891,1,0.08252
60438,0.087891,1,0.08252
60594,0.087891,1,0.08252
60860,0.087891,1,0.08252
60952,0.087891,1,0.08252
61039,0.087891,1,0.08252
61926,0.087891,1,0.08252
62384,0.087891,1,0.08252
62897,0.087891,1,0.08252
62989,0.087891,1,0.08252
63078,0.087891,1,0.08252
63406,0.087891,1,0.08252
63492,0.087891,1,0.08252
63586,0.087891,1,0.08252
63678,0.087891,1,0.08252
63976,0.087891,1,0.08252
65103,0.087891,1,0.08252
67034,0.087891,1,0.08252
67814,0.087891,1,0.08252
68121,0.087891,1,0.08252
68421,0.087891,1,0.08252
68512,0.087891,1,0.08252
68837,0.087891,1,0.08252
69348,0.087891,1,0.08252
69433,0.087891,1,0.08252
69608,0.087891,1,0.08252
69700,0.087891,1,0.08252
69792,0.087891,1,0.08252
69878,0.087891,1,0.08252
70325,0.087891,1,0.08252
70833,0.087891,1,0.08252
71038,0.087891,1,0.08252
71181,0.087891,1,0.08252
71391,0.087891,1,0.08252
71482,0.087891,1,0.08252
72013,0.087891,1,0.08252
72725,0.087891,1,0.08252
73029,0.087891,1,0.08252
73334,0.087891,1,0.08252
74109,0.087891,1,0.08252
74725,0.087891,1,0.08252
75288,0.087891,1,0.08252
75594,0.087891,1,0.08252
75686,0.087891,1,0.08252
75898,0.087891,1,0.08252
77176,0.087891,1,0.08252
77529,0.087891,1,0.08252
77838,0.087891,1,0.08252
77929,0.087891,1,0.08252
78464,0.087891,1,0.08252
78653,0.087891,1,0.08252
79274,0.087891,1,0.08252
80965,0.087891,1,0.08252
81383,0.087891,1,0.08252
81684,0.087891,1,0.08252
81777,0.087891,1,0.08252
82608,0.087891,1,0.08252
82699,0.087891,1,0.08252
84083,0.087891,1,0.08252
85274,0.087891,1,0.08252
85580,0.087891,1,0.08252
85673,0.087891,1,0.08252
86711,0.087891,1,0.08252
86800,0.087891,1,0.08252
86895,0.087891,1,0.08252
87627,0.087891,1,0.08252
87714,0.087891,1,0.08252
87927,0.087891,1,0.08252
88858,0.087891,1,0.08252
89106,0.087891,1,0.08252
89980,0.087891,1,0.08252
90499,0.087891,1,0.08252
91246,0.087891,1,0.08252
91340,0.087891,1,0.08252
92286,0.087891,1,0.08252
92597,0.087891,1,0.08252
92684,0.087891,1,0.08252
93105,0.087891,1,0.08252
93612,0.087891,1,0.08252
93919,0.087891,1,0.08252
94485,0.087891,1,0.08252
94574,0.087891,1,0.08252
94902,0.087891,1,0.08252
95110,0.087891,1,0.08252
95554,0.087891,1,0.08252
95756,0.087891,1,0.08252
96025,0.087891,1,0.08252
96582,0.087891,1,0.08252
96678,0.087891,1,0.08252
96710,0.087891,1,0.08252
96893,0.087891,1,0.08252
97050,0.087891,1,0.08252
97085,0.087891,1,0.08252
97230,0.087891,1,0.08252
97765,0.087891,1,0.08252
97912,0.087891,1,0.08252
98004,0.087891,1,0.08252
98094,0.087891,1,0.08252
98189,0.087891,1,0.08252
98276,0.087891,1,0.08252
98482,0.087891,1,0.08252
98997,0.087891,1,0.08252
99090,0.087891,1,0.08252
99178,0.087891,1,0.08252
99505,0.087891,1,0.08252
100322,0.087891,1,0.08252
100626,0.087891,1,0.08252
100886,0.087891,1,0.08252
101456,0.087891,1,0.08252
101702,0.087891,1,0.08252
101792,0.087891,1,0.08252
102317,0.087891,1,0.08252
102624,0.087891,1,0.08252
102985,0.087891,1,0.08252
103593,0.087891,1,0.08252
