Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
0.000488,0.108643,0.994141,-0.427246,63556
0.000244,0.107666,0.993896,-0.12207,63606
-0.001465,0.111084,0.995605,-0.366211,63656
-0.001709,0.109863,0.992432,-0.244141,63706
-0.000732,0.109375,0.994141,-0.244141,63756
-0.004395,0.110107,0.993896,-0.305176,63803
-0.000488,0.11084,0.992676,-0.12207,63851
-0.001709,0.106445,0.995361,-0.366211,63900
0.004883,0.111572,0.994629,-0.244141,63947
-0.000244,0.110107,0.995605,-0.366211,63993
-0.001953,0.110107,0.993408,-0.061035,64039
-0.001221,0.108887,0.99292,-0.305176,64083
-0.002197,0.107666,0.994873,-0.183105,64131
0.001221,0.107666,0.996582,-0.183105,64179
-0.002441,0.109375,0.996582,-0.061035,64227
0.001221,0.108643,0.994629,-0.183105,64278
0.003662,0.112305,0.993164,-0.305176,64326
-0.000244,0.108154,0.994629,-0.244141,64374
-0.000732,0.108643,0.993652,-0.12207,64422
-0.001953,0.106201,0.992676,-0.183105,64468
-0.000732,0.108643,0.994629,-0.244141,64513
-0.003662,0.110352,0.991699,-0.366211,64559
-0.000732,0.109619,0.99585,-0.12207,64608
-0.002197,0.109131,0.995117,-0.305176,64658
0,0.107422,0.993164,-0.183105,64707
-0.000732,0.109131,0.993408,-0.061035,64758
-0.003174,0.110352,0.993652,-0.061035,64806
0.000488,0.110107,0.995361,-0.183105,64854
-0.003662,0.109863,0.994141,-0.305176,64902
0.00293,0.108887,0.99585,-0.366211,64945
-0.001709,0.108154,0.997803,-0.305176,64990
-0.002441,0.113037,0.996826,-0.183105,65037
-0.000244,0.109619,0.995605,-0.183105,65086
-0.001465,0.108154,0.995605,-0.183105,65133
-0.001465,0.108887,0.996582,-0.244141,65182
0.001709,0.109863,0.994385,-0.488281,65231
-0.001709,0.109131,0.990479,-0.366211,65282
-0.000977,0.110352,0.991943,-0.305176,65329
-0.000488,0.107178,0.991455,-0.244141,65374
-0.00415,0.11084,0.994385,-0.244141,65422
-0.00415,0.110107,0.991455,-0.305176,65469
-0.001953,0.109131,0.997803,-0.244141,65517
-0.003418,0.109619,0.994873,-0.366211,65567
0,0.109619,0.994141,-0.244141,65612
-0.000977,0.109375,0.99292,-0.183105,65662
0.002441,0.106689,0.996582,-0.244141,65709
-0.001465,0.109619,0.998047,-0.061035,65758
-0.003418,0.108643,0.992432,-0.427246,65806
-0.00415,0.108398,0.991455,-0.305176,65858
-0.003906,0.110352,0.994141,-0.366211,65908
-0.001221,0.108887,0.998779,-0.427246,65957
-0.000732,0.109863,0.993652,-0.183105,66005
-0.000977,0.11084,0.99292,-0.12207,66052
-0.003174,0.111328,0.994873,-0.427246,66100
-0.000732,0.109863,0.994873,-0.244141,66145
-0.001709,0.109863,0.994141,-0.12207,66191
0.002686,0.111816,0.994873,-0.183105,66235
-0.001465,0.108643,0.993408,-0.183105,66285
-0.002197,0.112793,0.995605,-0.244141,66331
0,0.110107,0.996826,-0.061035,66378
-0.000488,0.111816,0.995117,-0.183105,66429
-0.001953,0.108887,0.992432,-0.244141,66476
0.000732,0.111084,0.995361,-0.305176,66523
-0.000244,0.107666,0.996094,-0.427246,66570
0.000488,0.108398,0.992188,-0.183105,66617
-0.001709,0.108643,0.992676,-0.244141,66665
-0.000488,0.112305,0.994385,-0.12207,66713
0.000732,0.109619,0.995605,-0.305176,66759
-0.000244,0.11084,0.993652,-0.305176,66806
0,0.110352,0.994629,-0.366211,66853
-0.000977,0.109863,0.99585,-0.183105,66899
-0.000488,0.110107,0.997314,-0.305176,66946
-0.00293,0.107422,0.994385,-0.244141,66992
0,0.10791,0.996826,-0.183105,67040
0.000977,0.109863,0.996826,-0.305176,67088
0,0.109131,0.995361,-0.244141,67134
-0.001709,0.108154,0.993164,-0.366211,67180
0.000977,0.109131,0.996338,-0.183105,67226
0.000732,0.109131,0.997559,-0.12207,67274
0.000488,0.109863,0.99292,-0.244141,67320
0.000732,0.109375,0.994385,-0.488281,67368
-0.001465,0.108154,0.996094,-0.305176,67416
0.000488,0.109863,0.993164,-0.366211,67463
-0.002441,0.109375,0.99292,-0.488281,67511
-0.003662,0.110596,0.995117,-0.183105,67559
0.000732,0.109863,1.000488,-0.12207,67616
0.00415,0.113037,0.993164,-0.244141,67665
-0.001465,0.112549,0.993164,-0.305176,67712
-0.003174,0.110107,0.994385,-0.244141,67758
0.000977,0.107422,0.996826,-0.061035,67805
-0.003174,0.108887,0.997559,-0.12207,67853
-0.001709,0.111084,0.995605,-0.488281,67903
-0.00708,0.107666,0.993408,-0.244141,67953
0.00415,0.107666,0.996338,-0.305176,68000
-0.002686,0.107666,0.99707,-0.366211,68048
0.000732,0.108887,0.995361,-0.366211,68097
-0.000732,0.109375,0.99585,-0.183105,68145
-0.001221,0.109131,0.994873,-0.244141,68193
-0.001709,0.108643,0.995361,-0.244141,68240
-0.00293,0.112305,0.993408,-0.244141,68286
-0.001465,0.108643,0.996338,-0.366211,68336
-0.001221,0.11084,0.996094,-0.183105,68381
-0.006104,0.109619,0.994873,-0.305176,68427
-0.003174,0.109131,0.994141,-0.244141,68476
-0.000488,0.108887,0.996094,0,68524
-0.001465,0.110596,0.994873,-0.183105,68570
-0.002441,0.109375,0.993164,-0.366211,68621
0.000488,0.110596,0.995361,-0.366211,68671
-0.00415,0.112061,0.993164,-0.305176,68721
-0.000732,0.111084,0.993652,-0.244141,68771
0.002197,0.109375,0.990479,-0.366211,68821
-0.000244,0.108887,0.993896,-0.305176,68869
-0.003906,0.110107,0.994141,-0.305176,68914
-0.003418,0.11084,0.99585,-0.305176,68962
-0.00293,0.106934,0.993652,-0.244141,69012
0.000977,0.105469,0.992676,-0.183105,69060
0.001709,0.10791,0.994141,-0.366211,69106
