Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
-0.312,-0.160,-1.072,3.601,97962
-0.337,-0.180,-1.088,3.601,97968
-0.337,-0.180,-1.088,1.343,97973
-0.337,-0.106,-1.067,-3.723,97978
-0.337,-0.106,-1.067,-6.714,97983
-0.350,-0.107,-1.029,-8.972,97988
-0.350,-0.107,-1.029,-10.559,97994
-0.366,-0.123,-0.974,-11.902,97999
-0.366,-0.123,-0.974,-14.038,98004
-0.391,-0.112,-0.908,-15.747,98009
-0.391,-0.112,-0.908,-15.625,98015
-0.419,-0.123,-0.857,-14.526,98020
-0.419,-0.123,-0.857,-12.024,98025
-0.446,-0.149,-0.817,-8.057,98030
-0.446,-0.149,-0.817,-6.592,98036
-0.442,-0.193,-0.792,-5.676,98041
-0.463,-0.200,-0.782,-0.732,98046
-0.463,-0.200,-0.782,2.075,98051
-0.460,-0.164,-0.787,3.357,98056
-0.460,-0.164,-0.787,6.226,98062
-0.455,-0.159,-0.820,8.911,98067
-0.455,-0.159,-0.820,10.071,98072
-0.436,-0.147,-0.861,10.925,98077
-0.436,-0.147,-0.861,10.376,98082
-0.416,-0.141,-0.905,9.583,98088
-0.416,-0.141,-0.905,10.254,98093
-0.405,-0.135,-0.946,9.888,98098
-0.405,-0.135,-0.946,8.545,98103
-0.383,-0.123,-0.975,6.714,98108
-0.383,-0.123,-0.975,4.028,98114
-0.374,-0.133,-0.999,2.075,98119
-0.374,-0.133,-0.999,0.793,98124
-0.377,-0.126,-0.997,-0.671,98129
-0.377,-0.126,-0.997,-2.625,98134
-0.381,-0.125,-0.980,-4.089,98139
-0.381,-0.125,-0.980,-5.432,98145
-0.387,-0.125,-0.949,-5.981,98150
-0.402,-0.125,-0.916,-10.071,98155
-0.402,-0.125,-0.916,-8.301,98160
-0.420,-0.137,-0.882,-7.751,98166
-0.420,-0.137,-0.882,-7.751,98171
-0.431,-0.157,-0.858,-6.653,98176
-0.431,-0.157,-0.858,-3.479,98181
-0.425,-0.179,-0.844,-2.747,98186
-0.425,-0.179,-0.844,-3.540,98192
-0.443,-0.171,-0.836,-0.061,98197
-0.443,-0.171,-0.836,0.977,98202
-0.442,-0.155,-0.841,2.014,98207
-0.442,-0.155,-0.841,3.906,98212
-0.435,-0.153,-0.863,4.761,98218
