Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
-0.025, -0.134, 0.993, -0.061, 85356
-0.019, -0.133, 0.998, -0.305, 85384
-0.020, -0.132, 0.997, -0.061, 85411
-0.022, -0.132, 0.995, -0.183, 85427
-0.021, -0.133, 0.994, -0.244, 85452
-0.019, -0.135, 0.998, -0.183, 85468
-0.023, -0.131, 0.998, -0.183, 85498
-0.019, -0.133, 0.997, -0.122, 85513
-0.017, -0.134, 0.998, -0.183, 85543
-0.020, -0.131, 0.998, -0.427, 85559
-0.019, -0.132, 0.999, -0.122, 85590
-0.023, -0.133, 0.997, -0.244, 85606
-0.021, -0.134, 0.997, -0.183, 85632
-0.023, -0.132, 0.995, -0.305, 85649
-0.023, -0.135, 0.994, -0.244, 85681
-0.022, -0.131, 0.997, -0.183, 85707
-0.020, -0.134, 0.994, -0.122, 85722
-0.018, -0.134, 0.999, -0.061, 85757
-0.018, -0.134, 0.995, -0.183, 85772
-0.016, -0.131, 0.997, -0.061, 85799
-0.022, -0.133, 0.995, -0.183, 85814
-0.025, -0.135, 0.995, -0.305, 85841
-0.017, -0.132, 0.996, -0.061, 85858
-0.017, -0.135, 0.996, -0.244, 85892
-0.021, -0.133, 0.997, -0.244, 85919
-0.021, -0.134, 0.995, -0.061, 85936
-0.025, -0.137, 0.997, -0.122, 85965
-0.021, -0.133, 0.996, -0.122, 85981
-0.020, -0.134, 0.998, 0.000, 86010
-0.022, -0.132, 0.996, -0.183, 86027
-0.022, -0.133, 0.994, -0.183, 86056
-0.021, -0.139, 0.994, -0.305, 86071
-0.021, -0.134, 0.998, -0.244, 86099
-0.016, -0.134, 0.995, -0.305, 86115
-0.017, -0.132, 0.995, -0.366, 86142
-0.025, -0.133, 0.996, -0.244, 86159
-0.023, -0.134, 0.995, -0.183, 86192
-0.018, -0.132, 0.998, -0.122, 86207
-0.023, -0.137, 0.996, -0.183, 86235
-0.020, -0.134, 0.997, -0.244, 86251
-0.022, -0.136, 0.996, -0.122, 86280
-0.023, -0.132, 0.994, -0.244, 86307
-0.019, -0.133, 0.996, -0.366, 86323
-0.021, -0.132, 0.998, -0.122, 86351
-0.024, -0.131, 0.995, -0.183, 86368
-0.018, -0.134, 0.993, -0.122, 86396
-0.021, -0.133, 0.996, -0.244, 86412
-0.021, -0.135, 0.995, -0.122, 86452
-0.021, -0.132, 0.999, -0.305, 86468
-0.021, -0.135, 0.996, -0.305, 86507
-0.024, -0.133, 0.997, -0.061, 86535
-0.020, -0.135, 0.994, -0.244, 86552
-0.021, -0.132, 0.993, 0.000, 86580
-0.019, -0.133, 0.996, -0.305, 86630
-0.020, -0.133, 0.996, -0.061, 86656
-0.023, -0.133, 0.996, -0.122, 86672
