Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
0.075,0.764,-0.627,-0.366,9515
0.075,0.767,-0.631,-0.122,9519
0.076,0.764,-0.63,-0.488,9523
0.077,0.766,-0.623,-0.122,9527
0.072,0.764,-0.627,0.0,9531
0.075,0.767,-0.626,0.366,9535
0.076,0.762,-0.629,0.427,9539
0.079,0.76,-0.621,0.122,9542
0.077,0.76,-0.628,0.122,9546
0.08,0.757,-0.626,-0.183,9550
0.079,0.761,-0.626,-0.183,9554
0.076,0.76,-0.631,-0.366,9559
0.08,0.764,-0.629,-0.122,9563
0.075,0.762,-0.631,-0.366,9567
0.078,0.764,-0.631,-0.427,9570
0.077,0.76,-0.628,-0.061,9574
0.077,0.758,-0.635,0.0,9578
0.079,0.758,-0.633,0.0,9582
0.078,0.763,-0.63,0.0,9586
0.079,0.764,-0.634,0.244,9591
0.071,0.762,-0.629,0.0,9594
0.074,0.761,-0.625,0.0,9598
0.079,0.762,-0.631,-0.61,9602
0.076,0.764,-0.624,-0.122,9606
0.077,0.762,-0.63,-0.427,9610
0.074,0.765,-0.626,-0.549,9615
0.073,0.764,-0.627,-0.427,9619
0.075,0.761,-0.627,-0.427,9623
0.075,0.759,-0.627,-0.122,9627
0.076,0.761,-0.626,-0.427,9631
0.077,0.76,-0.627,-0.183,9634
0.074,0.767,-0.632,-0.061,9638
0.075,0.758,-0.629,0.305,9643
0.078,0.762,-0.63,0.305,9646
0.081,0.76,-0.627,-0.061,9650
0.075,0.765,-0.627,0.244,9654
0.075,0.758,-0.628,-0.244,9659
