Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
-0.004,0.054,0.999,-0.183,2080974
-0.005,0.052,0.999,-0.061,2080978
-0.005,0.052,0.999,-0.366,2080982
-0.005,0.052,0.999,-0.366,2080986
-0.005,0.053,0.999,-0.244,2080990
-0.005,0.053,0.999,-0.244,2080994
-0.003,0.055,1.0,-0.244,2080998
-0.003,0.055,1.0,-0.061,2081002
-0.003,0.055,1.0,-0.061,2081006
-0.004,0.054,1.0,-0.244,2081010
-0.004,0.054,1.0,-0.244,2081014
-0.003,0.053,0.997,-0.244,2081017
-0.003,0.053,0.997,-0.244,2081021
-0.003,0.053,0.997,-0.244,2081025
-0.004,0.055,0.998,-0.305,2081029
-0.004,0.055,0.998,-0.305,2081033
-0.003,0.053,1.001,-0.183,2081037
-0.003,0.053,1.001,0.0,2081041
-0.003,0.053,1.001,0.0,2081045
-0.004,0.052,0.999,-0.122,2081049
-0.004,0.052,0.999,-0.122,2081053
-0.006,0.052,0.999,-0.183,2081057
-0.006,0.052,0.999,-0.122,2081061
-0.006,0.052,0.999,-0.122,2081065
-0.004,0.052,0.999,-0.244,2081069
-0.004,0.052,0.999,-0.183,2081073
-0.005,0.052,0.998,-0.122,2081077
-0.005,0.052,0.998,-0.122,2081081
-0.005,0.052,0.998,-0.122,2081085
-0.006,0.054,0.999,-0.183,2081089
-0.006,0.054,0.999,-0.305,2081093
-0.005,0.054,0.997,-0.244,2081097
-0.005,0.054,0.997,-0.061,2081101
-0.005,0.054,0.997,-0.061,2081105
-0.005,0.052,0.999,-0.244,2081109
-0.005,0.052,0.999,-0.244,2081113
-0.004,0.052,1.0,-0.122,2081117
-0.004,0.052,1.0,-0.122,2081121
-0.004,0.052,1.0,-0.122,2081124
-0.004,0.053,1.0,-0.122,2081128
-0.004,0.053,1.0,-0.244,2081132
-0.005,0.054,0.999,-0.183,2081136
-0.005,0.054,0.999,-0.061,2081140
-0.005,0.054,0.999,-0.061,2081144
-0.003,0.053,0.999,-0.244,2081148
-0.003,0.053,0.999,-0.244,2081152
-0.005,0.053,0.999,-0.366,2081156
-0.005,0.053,0.999,-0.122,2081160
-0.005,0.053,0.999,-0.122,2081164
-0.006,0.054,0.997,-0.366,2081168
