Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
-0.003,0.36,0.927,-0.183,2260781
-0.003,0.36,0.927,-0.183,2260785
-0.002,0.36,0.927,-0.183,2260789
-0.002,0.36,0.927,-0.366,2260793
-0.003,0.36,0.927,-0.183,2260797
-0.003,0.36,0.927,-0.183,2260801
-0.003,0.36,0.927,-0.061,2260805
-0.002,0.358,0.925,-0.183,2260809
-0.002,0.358,0.925,-0.244,2260813
-0.001,0.359,0.925,-0.244,2260817
-0.001,0.359,0.925,-0.244,2260821
-0.001,0.359,0.925,-0.183,2260825
-0.0,0.36,0.936,-0.244,2260829
-0.0,0.36,0.936,-0.122,2260833
-0.0,0.356,0.921,-0.122,2260836
-0.0,0.356,0.921,-0.122,2260840
-0.0,0.356,0.921,-0.122,2260844
0.0,0.361,0.917,-0.061,2260848
0.0,0.361,0.917,-0.183,2260852
-0.004,0.365,0.942,-0.183,2260856
-0.004,0.365,0.942,-0.244,2260860
-0.004,0.365,0.942,-0.244,2260864
-0.003,0.362,0.934,-0.305,2260868
-0.003,0.362,0.934,-0.244,2260872
0.001,0.36,0.91,-0.122,2260876
0.001,0.36,0.91,-0.183,2260880
0.001,0.36,0.91,-0.183,2260884
0.0,0.363,0.924,-0.244,2260888
0.0,0.363,0.924,-0.244,2260892
-0.001,0.366,0.933,-0.122,2260896
-0.001,0.366,0.933,-0.122,2260900
-0.001,0.366,0.933,-0.122,2260904
-0.002,0.359,0.924,-0.244,2260908
-0.002,0.359,0.924,-0.183,2260912
-0.0,0.36,0.924,-0.122,2260916
-0.0,0.36,0.924,-0.061,2260920
-0.0,0.36,0.924,-0.061,2260924
0.0,0.362,0.93,-0.244,2260928
0.0,0.362,0.93,-0.244,2260932
-0.0,0.36,0.924,-0.122,2260936
-0.0,0.36,0.924,-0.183,2260940
-0.0,0.36,0.924,-0.183,2260944
-0.002,0.36,0.923,-0.244,2260948
-0.002,0.36,0.923,-0.122,2260952
-0.0,0.36,0.932,-0.183,2260956
-0.0,0.36,0.932,-0.122,2260960
-0.0,0.36,0.932,-0.122,2260964
-0.001,0.36,0.927,-0.183,2260968
-0.001,0.36,0.927,-0.305,2260972
-0.001,0.358,0.92,-0.305,2260976
-0.001,0.358,0.92,-0.244,2260980
-0.001,0.358,0.92,-0.244,2260983
-0.003,0.357,0.927,-0.244,2260987
-0.003,0.357,0.927,-0.122,2260991
-0.001,0.357,0.93,-0.305,2260995
-0.001,0.357,0.93,-0.305,2260999
-0.001,0.357,0.93,-0.305,2261003
-0.001,0.357,0.926,-0.183,2261007
-0.001,0.357,0.926,-0.305,2261011
-0.002,0.357,0.926,-0.244,2261015
-0.002,0.357,0.926,-0.183,2261019
-0.002,0.357,0.926,-0.183,2261023
-0.002,0.359,0.929,-0.244,2261027
-0.002,0.359,0.929,-0.244,2261031
-0.003,0.357,0.921,-0.122,2261035
-0.003,0.357,0.921,-0.183,2261039
-0.003,0.357,0.921,-0.183,2261043
-0.003,0.363,0.93,-0.244,2261047
-0.003,0.363,0.93,-0.244,2261051
-0.003,0.361,0.933,-0.183,2261055
-0.003,0.361,0.933,-0.305,2261059
-0.003,0.361,0.933,-0.305,2261063
-0.005,0.361,0.924,-0.244,2261067
