Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
-0.297,-0.007,-0.956,-0.305,173779
-0.297,-0.007,-0.956,-0.305,173783
-0.297,-0.007,-0.956,-0.183,173787
-0.298,-0.008,-0.958,-0.122,173791
-0.298,-0.008,-0.958,-0.244,173795
-0.297,-0.006,-0.958,-0.305,173799
-0.297,-0.006,-0.958,-0.305,173803
-0.297,-0.006,-0.958,-0.244,173807
-0.299,-0.007,-0.958,-0.244,173811
-0.299,-0.007,-0.958,-0.183,173815
-0.299,-0.007,-0.959,-0.244,173819
-0.299,-0.007,-0.959,-0.061,173823
-0.299,-0.007,-0.959,-0.061,173827
-0.298,-0.007,-0.959,-0.244,173831
-0.298,-0.007,-0.959,-0.305,173835
-0.297,-0.006,-0.959,-0.183,173839
-0.297,-0.006,-0.959,-0.244,173843
-0.297,-0.006,-0.959,-0.244,173847
-0.299,-0.007,-0.958,-0.244,173851
-0.299,-0.007,-0.958,-0.122,173855
-0.298,-0.008,-0.958,-0.183,173859
-0.298,-0.008,-0.958,-0.305,173863
-0.298,-0.008,-0.958,-0.305,173867
-0.297,-0.009,-0.958,-0.244,173871
-0.297,-0.009,-0.958,-0.122,173875
-0.298,-0.008,-0.958,-0.244,173880
-0.298,-0.008,-0.958,-0.183,173884
-0.297,-0.008,-0.958,-0.183,173888
-0.297,-0.008,-0.958,-0.183,173892
-0.297,-0.008,-0.958,-0.244,173896
-0.298,-0.009,-0.959,-0.305,173900
-0.298,-0.009,-0.959,-0.244,173904
-0.299,-0.007,-0.958,-0.244,173908
-0.299,-0.007,-0.958,-0.244,173912
-0.299,-0.007,-0.958,-0.122,173916
-0.298,-0.007,-0.959,-0.122,173920
-0.298,-0.007,-0.959,-0.122,173924
-0.297,-0.008,-0.959,-0.122,173928
-0.297,-0.008,-0.959,-0.305,173932
-0.297,-0.008,-0.959,-0.305,173936
-0.298,-0.008,-0.959,-0.244,173940
-0.298,-0.008,-0.959,-0.305,173944
-0.298,-0.009,-0.957,-0.366,173948
-0.298,-0.009,-0.957,-0.305,173952
-0.298,-0.009,-0.957,-0.305,173956
-0.298,-0.007,-0.958,-0.244,173960
-0.298,-0.007,-0.958,-0.305,173964
-0.297,-0.009,-0.958,-0.183,173968
-0.297,-0.009,-0.958,-0.122,173972
-0.297,-0.009,-0.958,-0.122,173976
-0.297,-0.009,-0.958,-0.183,173980
-0.297,-0.009,-0.958,-0.122,173984
