Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
0.965,-0.013,0.29,-0.305,29006
0.965,-0.013,0.29,-0.305,29010
0.964,-0.011,0.29,-0.305,29014
0.964,-0.011,0.29,-0.244,29018
0.961,-0.012,0.294,-0.366,29022
0.961,-0.012,0.294,-0.366,29026
0.961,-0.012,0.294,-0.366,29030
0.962,-0.011,0.295,-0.244,29034
0.962,-0.011,0.295,-0.366,29038
0.962,-0.01,0.296,-0.366,29042
0.962,-0.01,0.296,-0.427,29046
0.962,-0.01,0.296,-0.427,29050
0.962,-0.011,0.298,-0.366,29054
0.962,-0.011,0.298,0.0,29058
0.962,-0.011,0.299,0.061,29062
0.962,-0.011,0.299,0.061,29066
0.962,-0.011,0.299,0.061,29070
0.961,-0.011,0.299,0.305,29074
0.961,-0.011,0.299,0.488,29078
0.962,-0.013,0.299,0.671,29082
0.962,-0.013,0.299,0.793,29086
0.962,-0.013,0.299,0.793,29090
0.961,-0.017,0.299,1.099,29094
0.961,-0.017,0.299,0.549,29098
0.96,-0.022,0.296,-0.427,29102
0.96,-0.022,0.296,-0.549,29106
0.963,-0.021,0.294,-0.427,29110
0.963,-0.021,0.294,-0.427,29114
0.963,-0.021,0.294,-0.488,29118
0.963,-0.02,0.296,-0.366,29122
0.963,-0.02,0.296,-0.122,29126
0.963,-0.02,0.297,-0.244,29130
0.963,-0.02,0.297,-0.244,29134
0.963,-0.02,0.297,-0.122,29138
0.963,-0.019,0.298,0.0,29142
0.963,-0.019,0.298,-0.183,29146
0.961,-0.02,0.296,-0.244,29150
0.961,-0.02,0.296,-0.244,29154
0.961,-0.02,0.296,-0.488,29158
0.962,-0.019,0.294,-0.61,29162
0.962,-0.019,0.294,-0.549,29166
0.964,-0.016,0.296,-0.305,29170
0.964,-0.016,0.296,-0.305,29174
0.964,-0.016,0.296,-0.061,29178
0.964,-0.015,0.295,-0.061,29182
0.964,-0.015,0.295,-0.305,29186
0.964,-0.016,0.294,-0.305,29190
0.964,-0.016,0.294,-0.305,29194
0.964,-0.016,0.294,-0.366,29198
0.964,-0.014,0.293,-0.488,29202
0.964,-0.014,0.293,-0.366,29206
