Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
0.37,-0.266,-0.84,151.672,1505270
0.281,-0.599,-1.308,202.759,1505275
0.281,-0.599,-1.308,216.248,1505280
0.25,-0.367,-0.923,215.027,1505286
0.25,-0.367,-0.923,160.522,1505291
0.277,-0.358,-0.673,-42.847,1505296
-0.056,-0.601,-0.877,-28.381,1505302
-0.056,-0.601,-0.877,254.578,1505307
-0.092,-0.386,-1.043,154.419,1505312
-0.092,-0.386,-1.043,109.863,1505318
-0.184,-0.309,-1.02,119.08,1505323
-0.184,-0.309,-1.02,87.83,1505329
-0.187,-0.394,-0.907,56.213,1505334
-0.187,-0.394,-0.907,33.264,1505339
-0.219,-0.41,-0.939,-13.55,1505344
-0.219,-0.41,-0.939,-51.025,1505350
-0.077,-0.351,-1.0,-68.909,1505355
-0.077,-0.351,-1.0,-116.211,1505361
0.248,-0.349,-0.977,-312.378,1505366
0.381,-0.257,-0.8,-356.873,1505371
0.381,-0.257,-0.8,-355.835,1505377
0.154,-0.309,-1.095,-294.25,1505382
0.154,-0.309,-1.095,-198.853,1505387
0.21,-0.286,-1.007,-158.569,1505393
0.21,-0.286,-1.007,-123.657,1505398
0.191,-0.259,-0.714,-40.649,1505404
0.191,-0.259,-0.714,48.584,1505409
0.202,-0.298,-0.925,148.743,1505414
0.202,-0.298,-0.925,227.6,1505419
0.251,-0.127,-0.545,272.156,1505425
-0.085,-0.243,-1.368,253.967,1505430
-0.085,-0.243,-1.368,162.476,1505435
0.079,-0.333,-0.989,102.539,1505441
0.079,-0.333,-0.989,49.744,1505446
0.132,-0.351,-0.942,17.09,1505451
0.132,-0.351,-0.942,-9.46,1505457
0.14,-0.288,-0.847,-57.007,1505462
0.14,-0.288,-0.847,-50.171,1505467
-0.705,-0.378,-1.226,251.77,1505473
-0.705,-0.378,-1.226,348.572,1505478
-0.122,-0.246,-0.934,140.991,1505483
-0.122,-0.246,-0.934,73.12,1505489
0.074,-0.279,-0.847,136.902,1505494
0.074,-0.279,-0.847,127.93,1505499
-0.177,-0.309,-1.087,82.458,1505505
