Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
0.014,-0.005,1.001,-0.183,198887
0.015,-0.006,1.002,-0.305,198912
0.015,-0.005,1.001,-0.183,198938
0.014,-0.005,1.002,-0.183,198963
0.014,-0.004,1.002,-0.122,198990
0.015,-0.005,1.001,-0.244,199018
0.012,-0.005,1.002,-0.244,199045
0.014,-0.005,1.002,-0.244,199070
0.015,-0.006,1.001,-0.183,199094
0.015,-0.004,1.004,-0.244,199121
0.017,-0.006,1.0,-0.244,199146
0.014,-0.005,1.003,-0.244,199171
0.014,-0.005,1.003,-0.122,199197
0.013,-0.006,1.002,-0.244,199223
0.016,-0.005,1.002,-0.183,199247
0.013,-0.004,1.001,-0.183,199275
0.014,-0.005,1.003,-0.305,199302
0.016,-0.005,1.001,-0.305,199328
0.015,-0.006,1.002,-0.183,199353
0.013,-0.005,1.002,-0.183,199377
0.015,-0.006,1.004,-0.061,199403
0.014,-0.004,1.002,-0.122,199428
0.014,-0.006,1.005,-0.122,199452
0.014,-0.006,1.001,-0.122,199477
0.014,-0.004,1.004,-0.305,199504
0.015,-0.006,1.004,-0.183,199530
0.015,-0.004,1.001,-0.183,199557
0.015,-0.006,1.003,-0.183,199583
0.014,-0.005,1.002,-0.122,199608
0.014,-0.004,1.003,-0.183,199636
0.014,-0.006,1.002,-0.305,199664
0.015,-0.006,1.002,-0.183,199688
0.014,-0.004,1.003,-0.122,199711
0.014,-0.005,1.001,-0.183,199735
0.014,-0.005,1.003,-0.183,199760
0.014,-0.006,1.003,-0.183,199787
0.014,-0.006,1.002,-0.305,199811
0.013,-0.005,1.003,-0.244,199836
0.012,-0.005,1.002,-0.244,199864
0.014,-0.006,1.003,-0.305,199889
0.013,-0.006,1.001,-0.183,199916
0.014,-0.005,1.001,-0.122,199939
0.015,-0.006,1.004,-0.244,199965
0.013,-0.006,1.003,-0.244,199993
0.015,-0.005,1.002,-0.183,200021
0.014,-0.005,1.001,-0.305,200046
0.015,-0.004,1.004,-0.244,200071
0.014,-0.006,1.003,-0.427,200095
0.015,-0.004,1.003,-0.244,200118
0.014,-0.005,1.003,-0.183,200143
0.013,-0.004,1.002,-0.061,200167
0.014,-0.006,1.002,-0.305,200191
0.014,-0.005,1.002,-0.122,200216
0.014,-0.005,1.002,-0.244,200239
0.014,-0.004,1.002,-0.305,200266
0.015,-0.005,1.003,-0.244,200292
0.015,-0.005,1.002,-0.244,200316
0.014,-0.006,1.004,-0.305,200344
0.013,-0.006,1.004,-0.122,200369
0.014,-0.004,1.004,-0.244,200394
0.015,-0.004,1.004,-0.183,200420
0.014,-0.006,1.003,-0.183,200447
0.014,-0.005,1.002,-0.183,200474
0.014,-0.005,1.003,-0.183,200502
0.014,-0.005,1.003,-0.183,200526
0.013,-0.005,1.001,-0.183,200554
0.014,-0.006,1.001,-0.244,200579
0.013,-0.005,1.004,-0.122,200604
0.014,-0.006,1.001,-0.244,200630
0.015,-0.005,1.002,-0.244,200655
0.014,-0.006,1.002,-0.183,200681
0.015,-0.005,1.002,-0.183,200706
0.013,-0.007,1.002,-0.183,200731
0.014,-0.006,1.002,-0.305,200756
0.016,-0.006,1.003,-0.183,200781
0.016,-0.007,1.003,-0.244,200808
0.013,-0.005,1.004,-0.122,200836
0.013,-0.004,1.002,-0.122,200863
0.013,-0.004,1.002,-0.244,200890
0.015,-0.006,1.002,-0.183,200917
